2019-04-13 23:10:35:	epoch 1, global step:5, loss 0.0007, test auc:0.5128, time:0.38
2019-04-13 23:10:36:	epoch 1, global step:6, loss 0.0007, test auc:0.5131, time:0.37
2019-04-13 23:10:36:	epoch 1, global step:7, loss 0.0007, test auc:0.5148, time:0.35
2019-04-13 23:10:36:	epoch 1, global step:8, loss 0.0007, test auc:0.5166, time:0.36
2019-04-13 23:10:37:	epoch 1, global step:9, loss 0.0007, test auc:0.5171, time:0.35
2019-04-13 23:10:37:	epoch 1, global step:10, loss 0.0007, test auc:0.5183, time:0.33
2019-04-13 23:10:37:	epoch 1, global step:11, loss 0.0007, test auc:0.5193, time:0.35
2019-04-13 23:10:38:	epoch 1, global step:12, loss 0.0007, test auc:0.5200, time:0.35
2019-04-13 23:10:38:	epoch 1, global step:13, loss 0.0007, test auc:0.5205, time:0.35
2019-04-13 23:10:38:	epoch 1, global step:14, loss 0.0007, test auc:0.5213, time:0.35
2019-04-13 23:10:39:	epoch 1, global step:15, loss 0.0007, test auc:0.5221, time:0.36
2019-04-13 23:10:39:	epoch 1, global step:16, loss 0.0007, test auc:0.5224, time:0.33
2019-04-13 23:10:39:	epoch 1, global step:17, loss 0.0007, test auc:0.5236, time:0.35
2019-04-13 23:10:40:	epoch 1, global step:18, loss 0.0007, test auc:0.5229, time:0.96
2019-04-13 23:10:41:	epoch 1, global step:19, loss 0.0007, test auc:0.5231, time:0.39
2019-04-13 23:10:41:	epoch 1, global step:20, loss 0.0007, test auc:0.5237, time:0.38
2019-04-13 23:10:42:	epoch 1, global step:21, loss 0.0007, test auc:0.5250, time:0.39
2019-04-13 23:10:42:	epoch 1, global step:22, loss 0.0007, test auc:0.5250, time:0.37
2019-04-13 23:10:42:	epoch 1, global step:23, loss 0.0007, test auc:0.5249, time:0.35
2019-04-13 23:10:43:	epoch 1, global step:24, loss 0.0007, test auc:0.5263, time:0.36
2019-04-13 23:10:43:	epoch 1, global step:25, loss 0.0007, test auc:0.5275, time:0.38
2019-04-13 23:10:43:	epoch 1, global step:26, loss 0.0007, test auc:0.5284, time:0.35
2019-04-13 23:10:44:	epoch 1, global step:27, loss 0.0007, test auc:0.5285, time:0.40
2019-04-13 23:10:44:	epoch 1, global step:28, loss 0.0008, test auc:0.5299, time:0.37
2019-04-13 23:10:44:	epoch 1, global step:29, loss 0.0007, test auc:0.5289, time:0.37
2019-04-13 23:10:45:	epoch 1, global step:30, loss 0.0007, test auc:0.5296, time:0.36
2019-04-13 23:10:45:	epoch 1, global step:31, loss 0.0007, test auc:0.5309, time:0.40
2019-04-13 23:10:46:	epoch 1, global step:32, loss 0.0007, test auc:0.5289, time:0.37
2019-04-13 23:10:46:	epoch 1, global step:33, loss 0.0007, test auc:0.5303, time:0.36
2019-04-13 23:10:46:	epoch 1, global step:34, loss 0.0007, test auc:0.5306, time:0.34
